_id,PLAY_DATE,PLAY_NAME,THEATER_NAME,PLAY_CATEGORY,IS_GUEST_PLAY,PLAY_TYPE,LONGITUDE,LATITUDE,NUMBER_OF_AUDIENCE
11721,2020-02-23,MASKELİLER (KONUK OYUN),Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yabancı,29.0234079999999999,40.9917700000000025,1
11722,2020-09-27,KISRAKLI KADIN,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.0238170000000011,41.0170639999999977,1
11723,2017-10-29,YANGIN YERİNDE ORKİDELER,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,16
11724,2018-02-19,HAYAL-İ TEMSİL,Kadıköy Haldun Taner Sahnesi,Yetişkin,0,Yerli,29.0234079999999999,40.9917700000000025,1
11725,2019-02-11,OCAK'TA BAHAR,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.9888289999999991,41.0467879999999994,86
11726,2019-10-20,CAN YELEĞİ,Üsküdar Kerem Yılmazer Sahnesi,Yetişkin,0,Yerli,29.0238170000000011,41.0170639999999977,32
11727,2019-01-08,BİSKÜVİ ADAM,Gaziosmanpaşa Sahnesi,Çocuk,0,Yabancı,28.9164819999999985,41.0578459999999978,105
11728,2020-11-13,ZEHİR,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,2
11729,2017-11-09,OYUNUN OYUNU,Harbiye Muhsin Ertuğrul Sahnesi,Yetişkin,0,Yabancı,28.9888289999999991,41.0467879999999994,52
11730,2018-04-07,BEN ÇAĞIRMADIM,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yabancı,28.956194,41.015900000000002,41
11731,2017-12-23,BAK BİZİM ŞARKIMIZI ÇALIYORLAR,Ümraniye Sahnesi,Müzikal,0,Yabancı,29.1047979999999988,41.0250249999999994,53
11732,2019-02-08,BİZİM AİLE,Kağıthane Sadabad Sahnesi,Müzikal,0,Yerli,28.9709719999999997,41.0793660000000003,72
11733,2019-12-21,BİSKÜVİ ADAM,Sultangazi Hoca Ahmet Yesevi Sahnesi,Çocuk,0,Yabancı,28.8765776999999986,41.0977446799999981,16
11734,2019-01-06,MATRUŞKA,Fatih Reşat Nuri Sahnesi,Yetişkin,0,Yerli,28.956194,41.015900000000002,95
11735,2019-12-25,RÜYA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yerli,28.9888289999999991,41.0467879999999994,23
11736,2018-02-08,BİSKÜVİ ADAM,Ümraniye Sahnesi,Çocuk,0,Yabancı,29.1047979999999988,41.0250249999999994,8
11737,2018-05-25,BİZİM AİLE,Harbiye Cemil Topuzlu Açıkhava Sahnesi,Müzikal,0,Yerli,28.9904399999999995,41.0457770000000011,143
11738,2019-10-24,POLLYANNA,Harbiye Muhsin Ertuğrul Sahnesi,Çocuk,0,Yabancı,28.9888289999999991,41.0467879999999994,157
11739,2019-04-08,AŞK BİR ZAMANLAR (GAZALE),Ümraniye Sahnesi,Yetişkin,0,Yerli,29.1047979999999988,41.0250249999999994,10
11740,2017-12-22,BİZİM AİLE,Ümraniye Sahnesi,Müzikal,0,Yerli,29.1047979999999988,41.0250249999999994,49
11741,2020-03-11,HASTALIK HASTASI,Ümraniye Sahnesi,Yetişkin,0,Yabancı,29.1047979999999988,41.0250249999999994,7
