_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
1310,2020,1,Bolu Abant İzzet Baysal Üniversitesi,20,BAĞCILAR,5
1311,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,20,AVCILAR,1
1312,2019,1,Marmara Üniversitesi,25,SİLİVRİ,1
1313,2019,1,Nişantaşı Üniversitesi,20,ESENLER,1
1314,2020,1,Trabzon Üniversitesi,22,ÇEKMEKÖY,1
1315,2020,1,Afyon Kocatepe Üniversitesi,20,SANCAKTEPE,1
1316,2019,1,Haliç Üniversitesi,20,SULTANGAZİ,2
1317,2020,1,Tokat Gaziosmanpaşa,22,ARNAVUTKÖY,2
1318,2020,1,Zonguldak Bülent Ecevit Üniversitesi,22,SULTANGAZİ,1
1319,2020,1,Van Yüzüncü Yıl Üniversitesi,21,BAĞCILAR,2
1320,2019,1,Tokat Gaziosmanpaşa,20,PENDİK,2
1321,2019,1,İstanbul Arel Üniversitesi,23,ESENLER,3
1322,2020,1,Sivas Cumhuriyet Üniversitesi,18,KÜÇÜKÇEKMECE,1
1323,2019,2,Erzurum Teknik Üniversitesi,19,BAĞCILAR,1
1324,2019,2,Yıldız Teknik Üniversitesi,25,BEYLİKDÜZÜ,1
1325,2019,2,Akdeniz Üniversitesi,22,ESENYURT,3
1326,2020,1,İskenderun Teknik Üniversitesi,18,KADIKÖY,1
1327,2019,2,İstanbul Medeniyet Üniversitesi,24,BAŞAKŞEHİR,1
1328,2020,1,Kastamonu Üniversitesi,21,ŞİŞLİ,1
1329,2020,1,Gazi Üniversitesi,21,EYÜPSULTAN,1
1330,2019,2,Düzce Üniversitesi,25,FATİH,1
1331,2019,2,Samsun Üniversitesi,20,ÜMRANİYE,1
1332,2020,1,Bursa Teknik Üniversitesi,24,KARTAL,1
1333,2019,1,Giresun Üniversitesi,23,SİLİVRİ,1
1334,2020,1,Anadolu Üniversitesi,21,ESENLER,1
1335,2020,1,Haliç Üniversitesi,24,EYÜPSULTAN,1
1336,2019,1,İstanbul Ayvansaray Üniversitesi,20,MALTEPE,1
1337,2019,2,Bandırma Onyedi Eylül,21,BEYKOZ,1
1338,2020,1,Beykent Üniversitesi,23,KADIKÖY,1
1339,2019,1,Maltepe Üniversitesi,22,PENDİK,1
1340,2020,1,İstanbul Okan Üniversitesi,23,ÜSKÜDAR,1
1341,2020,1,Kocaeli Üniversitesi,23,KÜÇÜKÇEKMECE,6
1342,2019,2,Sağlık Bilimleri Üniversitesi,20,BAKIRKÖY,1
1343,2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,19,SANCAKTEPE,1
1344,2019,2,Yalova Üniversitesi,20,ATAŞEHİR,1
1345,2019,2,Trakya Üniversitesi,22,ÇEKMEKÖY,1
1346,2019,1,Yozgat Bozok Üniversitesi,20,BAŞAKŞEHİR,1
1347,2019,1,Bezm-İ Âlem Vakıf Üniversitesi,20,ŞİŞLİ,1
1348,2020,1,Karabük Üniversitesi,18,FATİH,2
1349,2019,1,Kastamonu Üniversitesi,22,SULTANGAZİ,1
1350,2020,1,Muğla Sıtkı Koçman Üniversitesi,18,KÜÇÜKÇEKMECE,1
1351,2020,1,Balıkesir Üniversitesi,20,ÜSKÜDAR,1
1352,2020,1,Anadolu Üniversitesi,19,BAHÇELİEVLER,2
1353,2019,2,İstanbul Şişli Meslek Yüksekokulu,22,KAĞITHANE,1
1354,2019,1,Sağlık Bilimleri Üniversitesi,20,SANCAKTEPE,3
1355,2020,1,Yakın Doğu Üniversitesi,24,EYÜPSULTAN,1
1356,2019,1,İstanbul Medipol Üniversitesi,20,BÜYÜKÇEKMECE,2
1357,2019,2,Necmettin Erbakan Üniversitesi,22,KAĞITHANE,1
1358,2019,1,Kırklareli Üniversitesi,22,SULTANGAZİ,1
1359,2020,1,Ondokuz Mayıs Üniversitesi,22,BEYLİKDÜZÜ,1
1360,2019,2,İstanbul Teknik Üniversitesi,20,MALTEPE,1
1361,2019,2,Balıkesir Üniversitesi,25,TUZLA,1
1362,2019,1,Beykoz Üniversitesi,22,ESENYURT,1
1363,2019,1,Marmara Üniversitesi,22,BEŞİKTAŞ,2
1364,2019,1,Fatih Sultan Mehmet Vakıf Üniversitesi,22,FATİH,2
1365,2020,1,Girne Amerikan Üniversitesi,20,SANCAKTEPE,1
1366,2019,2,Selçuk Üniversitesi,23,PENDİK,1
1367,2019,2,Isparta Uygulamalı Bilimler Üniversitesi,19,PENDİK,1
1368,2019,2,İstanbul Teknik Üniversitesi,22,PENDİK,1
1369,2020,1,Amasya Üniversitesi,21,BEYOĞLU,1
1370,2020,1,Işık Üniversitesi,19,BAĞCILAR,1
1371,2020,1,Adıyaman Üniversitesi,18,SULTANGAZİ,2
1372,2020,1,Piri Reis Üniversitesi,20,FATİH,1
1373,2020,1,Kırklareli Üniversitesi,23,ATAŞEHİR,1
1374,2020,1,İstanbul Üniversitesi,20,BAYRAMPAŞA,11
1375,2019,1,Van Yüzüncü Yıl Üniversitesi,21,ESENYURT,3
1376,2020,1,Çankırı Karatekin Üniversitesi,22,KAĞITHANE,1
1377,2020,1,Kocaeli Üniversitesi,19,BAYRAMPAŞA,4
1378,2019,1,Kocaeli Üniversitesi,20,BEYLİKDÜZÜ,1
1379,2020,1,Çukurova Üniversitesi,18,MALTEPE,1
1380,2019,1,Giresun Üniversitesi,20,PENDİK,1
1381,2019,2,Gazi Üniversitesi,22,GAZİOSMANPAŞA,1
1382,2019,1,Biruni Üniversitesi,20,SARIYER,1
1383,2020,1,Kocaeli Üniversitesi,23,BEYLİKDÜZÜ,2
1384,2020,1,Gaziantep Üniversitesi,19,ZEYTİNBURNU,1
1385,2020,1,Düzce Üniversitesi,21,BÜYÜKÇEKMECE,1
1386,2020,1,İstanbul Medeniyet Üniversitesi,18,ARNAVUTKÖY,2
1387,2019,2,Altınbaş Üniversitesi,24,KÜÇÜKÇEKMECE,1
1388,2019,2,Çanakkale Onsekiz Mart Üniversitesi,22,BAYRAMPAŞA,3
1389,2019,2,Çanakkale Onsekiz Mart Üniversitesi,20,MALTEPE,6
1390,2019,1,Kütahya Dumlupınar Üniversitesi,21,BAHÇELİEVLER,1
1391,2019,2,İstanbul Aydın Üniversitesi,19,ŞİŞLİ,1
1392,2020,1,İstanbul Üniversitesi-Cerrahpaşa,21,PENDİK,6
1393,2019,2,İstanbul Gelişim Üniversitesi,23,EYÜPSULTAN,1
1394,2019,1,Kastamonu Üniversitesi,24,KARTAL,1
1395,2020,1,Haliç Üniversitesi,18,BEYOĞLU,3
1396,2020,1,Ankara Hacı Bayram Veli Üniversitesi,22,ÇEKMEKÖY,1
1397,2019,1,İstanbul Medeniyet Üniversitesi,25,ÜMRANİYE,2
1398,2019,2,Pamukkale Üniversitesi,23,KÜÇÜKÇEKMECE,2
1399,2019,2,Siirt Üniversitesi,22,SULTANGAZİ,1
1400,2020,1,İstanbul Üniversitesi-Cerrahpaşa,24,FATİH,13
1401,2019,1,İstanbul Medeniyet Üniversitesi,19,KARTAL,3
1402,2020,1,Galatasaray Üniversitesi,21,MALTEPE,1
1403,2019,1,Sivas Cumhuriyet Üniversitesi,23,AVCILAR,1
1404,2019,1,Mardin Artuklu Üniversitesi,24,AVCILAR,1
1405,2019,1,İstanbul Rumeli Üniversitesi,19,KÜÇÜKÇEKMECE,1
1406,2020,1,İstanbul Arel Üniversitesi,22,AVCILAR,2
1407,2020,1,Eskişehir Osmangazi Üniversitesi,21,AVCILAR,1
1408,2019,1,Bursa Uludağ Üniversitesi,23,ESENYURT,2
1409,2019,2,Ege Üniversitesi,20,ÜMRANİYE,1
1410,2019,1,Çanakkale Onsekiz Mart Üniversitesi,24,SULTANGAZİ,2
1411,2020,1,Niğde Ömer Halisdemir,20,BAHÇELİEVLER,1
1412,2020,1,Düzce Üniversitesi,21,SARIYER,1
1413,2020,1,Yalova Üniversitesi,24,ÇATALCA,1
1414,2020,1,Tekirdağ Namık Kemal,20,BAHÇELİEVLER,26
1415,2019,1,Kastamonu Üniversitesi,22,BAŞAKŞEHİR,1
1416,2020,1,Dicle Üniversitesi,23,BAKIRKÖY,1
1417,2019,2,Dokuz Eylül Üniversitesi,22,ESENLER,1
1418,2019,2,İstinye Üniversitesi,20,BAHÇELİEVLER,1
1419,2019,2,Kırklareli Üniversitesi,19,ÇATALCA,1
1420,2020,1,Muğla Sıtkı Koçman Üniversitesi,19,ESENYURT,1
1421,2020,1,Boğaziçi Üniversitesi,20,FATİH,2
1422,2020,1,İstanbul Medeniyet Üniversitesi,18,ATAŞEHİR,1
1423,2019,1,Tekirdağ Namık Kemal,22,BÜYÜKÇEKMECE,3
1424,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,GAZİOSMANPAŞA,1
1425,2020,1,Özyeğin Üniversitesi,21,SULTANBEYLİ,1
1426,2020,1,Çanakkale Onsekiz Mart Üniversitesi,20,SANCAKTEPE,10
1427,2020,1,Ondokuz Mayıs Üniversitesi,19,ÜMRANİYE,1
1428,2019,2,Sakarya Üniversitesi,22,ATAŞEHİR,2
1429,2020,1,Marmara Üniversitesi,18,SULTANGAZİ,6
1430,2019,1,Ankara Hacı Bayram Veli Üniversitesi,19,PENDİK,1
1431,2020,1,Tekirdağ Namık Kemal,21,ARNAVUTKÖY,9
1432,2020,1,Marmara Üniversitesi,25,ÇEKMEKÖY,1
1433,2020,1,Ege Üniversitesi,23,ÇEKMEKÖY,1
1434,2020,1,Trakya Üniversitesi,21,SARIYER,1
1435,2019,2,Karadeniz Teknik Üniversitesi,22,ÜMRANİYE,1
1436,2019,1,Yıldız Teknik Üniversitesi,24,EYÜPSULTAN,1
1437,2019,1,Sivas Cumhuriyet Üniversitesi,20,BAŞAKŞEHİR,2
1438,2020,1,Hacettepe Üniversitesi,19,KÜÇÜKÇEKMECE,1
1439,2019,2,Doğuş Üniversitesi,23,ŞİŞLİ,1
1440,2019,1,Balıkesir Üniversitesi,20,ESENLER,1
1441,2020,1,İstanbul Kültür Üniversitesi,19,SULTANGAZİ,2
1442,2020,1,Gebze Teknik Üniversitesi,22,SANCAKTEPE,2
1443,2020,1,Mimar Sinan Güzel Sanatlar Üniversitesi,18,BAĞCILAR,2
1444,2020,1,İstanbul Kültür Üniversitesi,22,KAĞITHANE,1
1445,2019,2,Sakarya Uygulamalı Bilimler Üniversitesi,25,GÜNGÖREN,1
1446,2020,1,Düzce Üniversitesi,24,TUZLA,1
1447,2020,1,İstanbul Medeniyet Üniversitesi,20,SULTANGAZİ,5
1448,2020,1,Afyon Kocatepe Üniversitesi,22,KAĞITHANE,1
1449,2019,1,Aydın Adnan Menderes,21,ESENYURT,3
1450,2020,1,İstanbul Üniversitesi-Cerrahpaşa,23,ZEYTİNBURNU,5
1451,2019,1,Kocaeli Üniversitesi,22,ŞİLE,1
1452,2020,1,Düzce Üniversitesi,20,EYÜPSULTAN,1
1453,2019,2,Trakya Üniversitesi,21,ARNAVUTKÖY,4
1454,2019,1,Manisa Celâl Bayar Üniversitesi,21,KARTAL,1
1455,2020,1,Beykent Üniversitesi,21,ESENYURT,3
1456,2019,2,Balıkesir Üniversitesi,21,SANCAKTEPE,3
1457,2019,2,Ege Üniversitesi,21,BAĞCILAR,2
1458,2019,2,Eskişehir Osmangazi Üniversitesi,21,ESENLER,1
1459,2019,1,Trakya Üniversitesi,19,KAĞITHANE,2
1460,2019,2,Yozgat Bozok Üniversitesi,23,ESENYURT,2
1461,2020,1,İstanbul Okan Üniversitesi,20,BEYKOZ,1
1462,2019,2,Bilecik Şeyh Edebali Üniversitesi,20,ÇEKMEKÖY,1
1463,2020,1,İstanbul Ticaret Üniversitesi,21,ÜMRANİYE,3
1464,2020,1,Yozgat Bozok Üniversitesi,22,ÇEKMEKÖY,1
1465,2019,1,Yeditepe Üniversitesi,22,GÜNGÖREN,1
1466,2019,2,Ankara Yıldırım Beyazıt Üniversitesi,20,TUZLA,1
1467,2019,1,İstanbul Gedik Üniversitesi,23,BEYOĞLU,1
1468,2020,1,İstinye Üniversitesi,19,ÜMRANİYE,1
1469,2020,1,Nişantaşı Üniversitesi,19,KÜÇÜKÇEKMECE,3
1470,2019,2,Jandarma ve Sahil Güvenlik Üniversitesi,22,GÜNGÖREN,1
1471,2019,2,Kırklareli Üniversitesi,22,BEYKOZ,1
1472,2020,1,Bursa Uludağ Üniversitesi,20,KADIKÖY,1
1473,2020,1,Atatürk Üniversitesi,21,AVCILAR,1
1474,2020,1,Yozgat Bozok Üniversitesi,23,SULTANGAZİ,1
1475,2019,2,İstanbul Teknik Üniversitesi,24,ZEYTİNBURNU,1
1476,2020,1,Galatasaray Üniversitesi,22,KADIKÖY,2
1477,2020,1,Konya Teknik Üniversitesi,21,ÜSKÜDAR,1
1478,2020,1,Zonguldak Bülent Ecevit Üniversitesi,21,ÇEKMEKÖY,4
1479,2020,1,İstanbul Teknik Üniversitesi,22,KAĞITHANE,18
1480,2020,1,Kocaeli Üniversitesi,22,KARTAL,17
1481,2020,1,İstanbul Teknik Üniversitesi,20,EYÜPSULTAN,2
1482,2019,2,Marmara Üniversitesi,19,SULTANBEYLİ,3
1483,2019,1,Düzce Üniversitesi,25,SANCAKTEPE,1
1484,2019,2,Yozgat Bozok Üniversitesi,20,BAĞCILAR,1
1485,2019,2,Kırklareli Üniversitesi,24,AVCILAR,4
1486,2019,2,Kırklareli Üniversitesi,23,SİLİVRİ,1
1487,2019,2,Afyon Kocatepe Üniversitesi,21,GAZİOSMANPAŞA,1
1488,2020,1,Marmara Üniversitesi,18,ÜMRANİYE,4
1489,2020,1,Dokuz Eylül Üniversitesi,19,ÜMRANİYE,1
1490,2019,1,Karadeniz Teknik Üniversitesi,21,ATAŞEHİR,1
1491,2020,1,Nevşehir Hacı Bektaş Veli Üniversitesi,23,ESENYURT,1
1492,2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,24,BAĞCILAR,1
1493,2019,1,Uşak Üniversitesi,21,ÜMRANİYE,1
1494,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,20,SANCAKTEPE,1
1495,2019,2,Beykent Üniversitesi,23,SARIYER,1
1496,2020,1,Karabük Üniversitesi,19,AVCILAR,1
1497,2020,1,Ardahan Üniversitesi,20,ARNAVUTKÖY,1
1498,2019,1,Trakya Üniversitesi,21,GAZİOSMANPAŞA,9
1499,2020,1,Bahçeşehir Üniversitesi,19,ÜMRANİYE,1
1500,2019,1,Doğuş Üniversitesi,23,ÜSKÜDAR,1
1501,2020,1,Karabük Üniversitesi,18,BEYOĞLU,1
1502,2019,1,Nişantaşı Üniversitesi,23,KÜÇÜKÇEKMECE,1
1503,2020,1,Karabük Üniversitesi,24,SANCAKTEPE,1
1504,2020,1,Yıldız Teknik Üniversitesi,22,SULTANBEYLİ,3
1505,2020,1,Tekirdağ Namık Kemal,20,KADIKÖY,1
1506,2019,2,İstinye Üniversitesi,23,BAĞCILAR,2
1507,2019,1,Kırklareli Üniversitesi,22,SANCAKTEPE,2
1508,2019,2,Akdeniz Üniversitesi,20,KÜÇÜKÇEKMECE,2
1509,2020,1,İstanbul Ticaret Üniversitesi,21,EYÜPSULTAN,1
1510,2019,1,Trakya Üniversitesi,24,BAĞCILAR,1
1511,2019,2,Kırklareli Üniversitesi,20,ÜMRANİYE,3
1512,2019,1,Sakarya Üniversitesi,22,GAZİOSMANPAŞA,1
1513,2019,1,Sakarya Üniversitesi,19,KÜÇÜKÇEKMECE,2
1514,2020,1,İstanbul Bilgi Üniversitesi,19,SULTANBEYLİ,1
1515,2020,1,Bingöl Üniversitesi,23,GÜNGÖREN,1
1516,2019,1,Marmara Üniversitesi,23,EYÜPSULTAN,3
1517,2019,1,Fırat Üniversitesi,22,BAĞCILAR,1
1518,2019,1,Kocaeli Üniversitesi,24,SULTANGAZİ,1
1519,2020,1,Selçuk Üniversitesi,20,BEYKOZ,2
1520,2019,1,İstanbul Bilgi Üniversitesi,22,KAĞITHANE,1
1521,2019,1,Yıldız Teknik Üniversitesi,24,BAKIRKÖY,1
1522,2019,1,Mimar Sinan Güzel Sanatlar Üniversitesi,23,FATİH,1
1523,2019,1,İstanbul Esenyurt Üniversitesi,23,ARNAVUTKÖY,2
1524,2020,1,Yıldız Teknik Üniversitesi,20,BEYLİKDÜZÜ,7
1525,2019,2,Üsküdar Üniversitesi,20,MALTEPE,1
1526,2020,1,Süleyman Demirel Üniversitesi,24,SANCAKTEPE,1
1527,2019,1,Karadeniz Teknik Üniversitesi,19,TUZLA,1
1528,2020,1,İstanbul Sabahattin Zaim Üniversitesi,19,ÜMRANİYE,1
1529,2020,1,Bolu Abant İzzet Baysal Üniversitesi,18,ÜMRANİYE,2
1530,2019,2,Kırklareli Üniversitesi,20,BAŞAKŞEHİR,5
1531,2019,1,Bartın Üniversitesi,20,ESENLER,2
1532,2020,1,Çankırı Karatekin Üniversitesi,18,ÜMRANİYE,1
1533,2020,1,İstanbul Arel Üniversitesi,18,SULTANGAZİ,1
1534,2020,1,Kırklareli Üniversitesi,19,KAĞITHANE,1
1535,2019,1,Bursa Uludağ Üniversitesi,19,ZEYTİNBURNU,1
1536,2019,2,Akdeniz Üniversitesi,20,AVCILAR,1
1537,2020,1,İstanbul Arel Üniversitesi,19,ZEYTİNBURNU,2
1538,2019,2,Mersin Üniversitesi,21,ESENYURT,2
1539,2020,1,Piri Reis Üniversitesi,23,ATAŞEHİR,1
1540,2019,1,Giresun Üniversitesi,21,EYÜPSULTAN,1
1541,2020,1,Bilecik Şeyh Edebali Üniversitesi,23,ÇEKMEKÖY,2
1542,2020,1,İstanbul Arel Üniversitesi,20,BÜYÜKÇEKMECE,1
1543,2019,1,İstanbul Üniversitesi-Cerrahpaşa,19,EYÜPSULTAN,3
1544,2019,1,İstanbul Medeniyet Üniversitesi,23,ESENLER,3
1545,2020,1,Aydın Adnan Menderes,21,BÜYÜKÇEKMECE,2
1546,2019,1,Fatih Sultan Mehmet Vakıf Üniversitesi,20,SANCAKTEPE,1
1547,2019,2,İstanbul Üniversitesi,19,KAĞITHANE,1
1548,2019,2,İstanbul Teknik Üniversitesi,23,EYÜPSULTAN,1
1549,2020,1,Ankara Yıldırım Beyazıt Üniversitesi,20,BAKIRKÖY,1
1550,2019,1,Balıkesir Üniversitesi,23,KÜÇÜKÇEKMECE,1
1551,2019,1,İstanbul Arel Üniversitesi,26,BEYLİKDÜZÜ,1
1552,2019,2,Bursa Uludağ Üniversitesi,24,ESENLER,1
1553,2020,1,Sivas Cumhuriyet Üniversitesi,21,ESENLER,2
1554,2019,2,Amasya Üniversitesi,22,SANCAKTEPE,1
1555,2019,2,İstanbul Esenyurt Üniversitesi,22,GAZİOSMANPAŞA,1
1556,2019,2,Burdur Mehmet Akif Ersoy Üniversitesi,21,PENDİK,2
1557,2019,1,Düzce Üniversitesi,22,GÜNGÖREN,1
1558,2020,1,Düzce Üniversitesi,23,SULTANBEYLİ,8
1559,2019,2,Muğla Sıtkı Koçman Üniversitesi,24,GAZİOSMANPAŞA,1
1560,2019,1,Beykent Üniversitesi,21,ÜMRANİYE,2
1561,2020,1,İstinye Üniversitesi,19,EYÜPSULTAN,1
1562,2019,1,Demiroğlu Bilim Üniversitesi,20,BAHÇELİEVLER,1
1563,2019,2,Kafkas Üniversitesi,24,BAHÇELİEVLER,1
1564,2020,1,Kırklareli Üniversitesi,20,ESENYURT,10
1565,2020,1,Tekirdağ Namık Kemal,20,ÇATALCA,1
1566,2020,1,İstanbul Teknik Üniversitesi,24,KADIKÖY,1
1567,2020,1,İstanbul Bilgi Üniversitesi,18,ESENYURT,1
1568,2020,1,İstanbul Teknik Üniversitesi,25,ESENLER,1
1569,2020,1,Karabük Üniversitesi,22,ÇEKMEKÖY,1
1570,2019,1,Adıyaman Üniversitesi,21,PENDİK,1
1571,2020,1,Trakya Üniversitesi,18,BAŞAKŞEHİR,4
1572,2019,2,Eskişehir Osmangazi Üniversitesi,19,GAZİOSMANPAŞA,1
1573,2019,1,Yıldız Teknik Üniversitesi,19,BAHÇELİEVLER,4
1574,2020,1,Afyonkarahisar Sağlık Bilimleri Üniversitesi,22,SULTANGAZİ,1
1575,2020,1,Sağlık Bilimleri Üniversitesi,20,BAYRAMPAŞA,4
1576,2020,1,İstanbul Sabahattin Zaim Üniversitesi,20,BAĞCILAR,3
1577,2019,1,Yıldız Teknik Üniversitesi,25,KAĞITHANE,2
1578,2019,2,Necmettin Erbakan Üniversitesi,19,BAĞCILAR,1
1579,2020,1,Sağlık Bilimleri Üniversitesi,18,MALTEPE,4
1580,2020,1,Dokuz Eylül Üniversitesi,19,SANCAKTEPE,4
1581,2019,1,İstanbul Üniversitesi,20,KÜÇÜKÇEKMECE,17
1582,2019,2,İstanbul Üniversitesi,22,ÇATALCA,2
1583,2019,2,Ağrı İbrahim Çeçen Üniversitesi,23,SULTANBEYLİ,1
1584,2020,1,Sakarya Üniversitesi,19,BAŞAKŞEHİR,4
1585,2019,1,İstanbul Kültür Üniversitesi,22,GÜNGÖREN,2
1586,2019,1,Düzce Üniversitesi,21,KADIKÖY,1
1587,2019,2,Marmara Üniversitesi,21,BAŞAKŞEHİR,9
1588,2020,1,İstanbul Üniversitesi,19,PENDİK,8
1589,2019,1,Eskişehir Osmangazi Üniversitesi,20,ARNAVUTKÖY,1
1590,2020,1,Sivas Cumhuriyet Üniversitesi,23,SANCAKTEPE,1
1591,2019,2,Muğla Sıtkı Koçman Üniversitesi,22,ESENYURT,1
1592,2019,1,İstanbul Üniversitesi-Cerrahpaşa,26,SULTANGAZİ,1
1593,2019,2,Tekirdağ Namık Kemal,21,KAĞITHANE,6
1594,2020,1,Atatürk Üniversitesi,19,SARIYER,2
1595,2020,1,İstanbul Üniversitesi,22,KARTAL,11
1596,2020,1,Tekirdağ Namık Kemal,19,MALTEPE,3
1597,2020,1,Bandırma Onyedi Eylül,19,ESENYURT,2
1598,2019,2,Kocaeli Üniversitesi,21,KADIKÖY,2
1599,2020,1,Doğuş Üniversitesi,19,SULTANBEYLİ,2
1600,2019,2,Dokuz Eylül Üniversitesi,24,KARTAL,1
1601,2019,2,İstanbul Üniversitesi-Cerrahpaşa,20,KÜÇÜKÇEKMECE,13
1602,2019,1,Sakarya Üniversitesi,20,ÜSKÜDAR,3
1603,2020,1,Gebze Teknik Üniversitesi,19,ESENLER,1
1604,2020,1,Anadolu Üniversitesi,24,BEYLİKDÜZÜ,1
1605,2019,1,Eskişehir Osmangazi Üniversitesi,21,ÇEKMEKÖY,1
1606,2019,1,İstanbul Üniversitesi,21,ESENYURT,13
1607,2020,1,Burdur Mehmet Akif Ersoy Üniversitesi,22,ESENYURT,3
1608,2019,1,Karabük Üniversitesi,22,KARTAL,1
1609,2019,1,Kırıkkale Üniversitesi,22,BAHÇELİEVLER,1
1610,2019,2,Gazi Üniversitesi,20,TUZLA,1
1611,2019,1,Sakarya Üniversitesi,21,SULTANBEYLİ,5
1612,2019,1,Üsküdar Üniversitesi,21,SULTANBEYLİ,2
1613,2020,1,Manisa Celâl Bayar Üniversitesi,22,EYÜPSULTAN,1
1614,2019,1,İstanbul Üniversitesi,23,GAZİOSMANPAŞA,5
1615,2020,1,Anadolu Üniversitesi,24,AVCILAR,1
1616,2020,1,Doğu Akdeniz Üniversitesi,19,ÇEKMEKÖY,1
1617,2020,1,Bolu Abant İzzet Baysal Üniversitesi,20,KARTAL,5
1618,2019,1,Sağlık Bilimleri Üniversitesi,22,ÜSKÜDAR,7
1619,2019,2,Yalova Üniversitesi,24,BEYLİKDÜZÜ,1
1620,2020,1,Yalova Üniversitesi,24,PENDİK,3
1621,2019,2,Tekirdağ Namık Kemal,23,BAHÇELİEVLER,8
1622,2019,1,Bahçeşehir Üniversitesi,23,BAYRAMPAŞA,1
1623,2019,1,Bolu Abant İzzet Baysal Üniversitesi,24,BAĞCILAR,1
1624,2019,2,İstanbul Teknik Üniversitesi,22,SULTANGAZİ,2
1625,2019,1,Hacettepe Üniversitesi,22,BAKIRKÖY,1
1626,2020,1,Karadeniz Teknik Üniversitesi,21,ESENYURT,3
1627,2020,1,Türk-Alman Üniversitesi,21,FATİH,1
1628,2020,1,Çukurova Üniversitesi,23,KÜÇÜKÇEKMECE,1
1629,2019,1,Haliç Üniversitesi,24,BAHÇELİEVLER,1
1630,2020,1,Bursa Uludağ Üniversitesi,23,FATİH,4
1631,2019,1,Selçuk Üniversitesi,20,ESENYURT,2
1632,2019,1,Düzce Üniversitesi,20,BAHÇELİEVLER,1
1633,2019,2,Mardin Artuklu Üniversitesi,20,ZEYTİNBURNU,1
1634,2019,2,Yıldız Teknik Üniversitesi,24,KAĞITHANE,3
1635,2019,2,Kütahya Dumlupınar Üniversitesi,19,BAHÇELİEVLER,2
1636,2019,2,Boğaziçi Üniversitesi,24,AVCILAR,1
1637,2020,1,Selçuk Üniversitesi,22,KÜÇÜKÇEKMECE,1
1638,2019,2,Mimar Sinan Güzel Sanatlar Üniversitesi,23,KÜÇÜKÇEKMECE,1
1639,2020,1,İstanbul Esenyurt Üniversitesi,25,BAHÇELİEVLER,1
1640,2020,1,Bolu Abant İzzet Baysal Üniversitesi,21,KÜÇÜKÇEKMECE,7
1641,2019,1,Bahçeşehir Üniversitesi,20,ESENYURT,1
1642,2019,1,Türk-Alman Üniversitesi,19,KÜÇÜKÇEKMECE,1
1643,2020,1,İstanbul Okan Üniversitesi,20,KARTAL,1
1644,2020,1,Yıldız Teknik Üniversitesi,21,ÜSKÜDAR,12
1645,2020,1,Yıldız Teknik Üniversitesi,23,KADIKÖY,4
1646,2020,1,Muğla Sıtkı Koçman Üniversitesi,20,ARNAVUTKÖY,3
1647,2020,1,Kocaeli Üniversitesi,21,BÜYÜKÇEKMECE,5
1648,2020,1,Balıkesir Üniversitesi,23,ÜMRANİYE,1
1649,2019,1,İstanbul Teknik Üniversitesi,22,GÜNGÖREN,2
1650,2020,1,Alanya Alaaddin Keykubat Üniversitesi,21,PENDİK,2
1651,2020,1,İstanbul Medipol Üniversitesi,21,ZEYTİNBURNU,2
1652,2020,1,İstanbul Aydın Üniversitesi,19,BAĞCILAR,5
1653,2020,1,Hitit Üniversitesi,19,KÜÇÜKÇEKMECE,1
1654,2019,1,Erzincan Binali Yıldırım Üniversitesi,23,BAŞAKŞEHİR,1
1655,2019,2,Gaziantep Üniversitesi,24,AVCILAR,1
1656,2020,1,Sağlık Bilimleri Üniversitesi,22,ZEYTİNBURNU,7
1657,2019,1,Tokat Gaziosmanpaşa,21,SANCAKTEPE,1
1658,2019,1,Balıkesir Üniversitesi,20,BAŞAKŞEHİR,1
1659,2019,2,Biruni Üniversitesi,22,GAZİOSMANPAŞA,1
1660,2020,1,Tekirdağ Namık Kemal,23,BAĞCILAR,12
1661,2020,1,Aydın Adnan Menderes,24,TUZLA,1
1662,2020,1,Beykent Üniversitesi,18,FATİH,1
1663,2019,2,Kırıkkale Üniversitesi,22,ATAŞEHİR,1
1664,2019,1,Türk-Alman Üniversitesi,22,GAZİOSMANPAŞA,1
1665,2019,1,Yeditepe Üniversitesi,25,AVCILAR,1
1666,2019,1,İstanbul Gelişim Üniversitesi,21,BAYRAMPAŞA,1
1667,2020,1,Nişantaşı Üniversitesi,21,ARNAVUTKÖY,1
1668,2020,1,Necmettin Erbakan Üniversitesi,19,BAHÇELİEVLER,1
1669,2020,1,Isparta Uygulamalı Bilimler Üniversitesi,20,SULTANBEYLİ,3
1670,2019,1,Trakya Üniversitesi,19,ÜSKÜDAR,1
1671,2020,1,Haliç Üniversitesi,19,MALTEPE,1
1672,2019,2,Bandırma Onyedi Eylül,19,BAŞAKŞEHİR,1
1673,2020,1,Tokat Gaziosmanpaşa,20,BAHÇELİEVLER,1
1674,2019,1,İzmir Bakırçay Üniversitesi,20,BAĞCILAR,1
