_id,ASSISTANCE_YEAR,ASSISTANCE_TERM,UNIVERSITY,AGE,COUNTY,NUMBER_OF_STUDENTS
83,2019,1,Gebze Teknik Üniversitesi,23,ÜSKÜDAR,1
84,2020,1,Kocaeli Üniversitesi,23,SARIYER,1
85,2019,1,Beykent Üniversitesi,25,BAKIRKÖY,1
86,2020,1,Kastamonu Üniversitesi,21,BEYLİKDÜZÜ,1
87,2019,1,Doğuş Üniversitesi,23,FATİH,1
88,2019,1,İstanbul Ticaret Üniversitesi,21,SARIYER,1
89,2019,1,İstanbul Teknik Üniversitesi,24,BAYRAMPAŞA,1
90,2020,1,Atatürk Üniversitesi,22,BEYLİKDÜZÜ,2
91,2020,1,İnönü Üniversitesi,23,BEYLİKDÜZÜ,1
92,2019,2,Bolu Abant İzzet Baysal Üniversitesi,26,KARTAL,1
93,2019,2,Biruni Üniversitesi,20,FATİH,1
94,2020,1,İstanbul Gelişim Üniversitesi,22,KAĞITHANE,1
95,2019,1,İstanbul Medeniyet Üniversitesi,22,ESENYURT,3
96,2020,1,Kırklareli Üniversitesi,21,KÜÇÜKÇEKMECE,13
97,2020,1,Bolu Abant İzzet Baysal Üniversitesi,21,SANCAKTEPE,5
98,2019,1,Sivas Cumhuriyet Üniversitesi,24,KAĞITHANE,1
99,2020,1,Kırklareli Üniversitesi,23,SULTANBEYLİ,1
100,2019,1,Üsküdar Üniversitesi,21,KAĞITHANE,2
101,2019,2,Aksaray Üniversitesi,23,ESENYURT,1
102,2020,1,Sağlık Bilimleri Üniversitesi,21,ATAŞEHİR,9
103,2020,1,İnönü Üniversitesi,23,AVCILAR,1
104,2019,2,Marmara Üniversitesi,21,ARNAVUTKÖY,7
105,2019,2,Kütahya Dumlupınar Üniversitesi,22,GAZİOSMANPAŞA,1
106,2019,2,İstanbul Medeniyet Üniversitesi,23,KADIKÖY,1
107,2019,1,Düzce Üniversitesi,22,MALTEPE,2
108,2020,1,Muğla Sıtkı Koçman Üniversitesi,21,BAHÇELİEVLER,1
